School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,student_faculty_ratio,school_type
Seton Catholic Preparatory High School,Chandler,Yes,Yes,Yes,60,75,881,9,72%,1%,1%,16%,3%,1%,8,Private
Greenfield Junior High School,Gilbert,YES,YES,YES,61%,51%,Unranked,Unranked,75%,2%,0%,18%,4%,1%,18.2,Private
Highland High School,Gilbert,YES,YES,YES,78%,69%,221,11,76%,3%,1%,14%,5%,1%,1.5,Private
Great Hearts Academies - Archway Chandler,Chandler,NO,YES,NO,87%,78%,Unranked,Unknown,56%,5%,0%,13%,17%,8%,8.4,Private
Great Hearts Academies - Chandler Prep,Chandler,NO,YES,NO,73%,72%,"8,171",163,63%,4%,0%,12%,15%,5%,6.1,Public
Great Hearts Academies - Lincoln Prep,Chandler,YES,YES,NO,54%,55%,Unranked,Unknown,54%,4%,1%,13%,19%,10%,17.5,Private
Kaizen Education Foundation Dba Quest High School,Phoenix,,yes,yes,7%,10%,22682,477,4%,14%,2%,80%,0%,0%,,
Kaizen Education Foundation Dba Summit High School,Phoenix,,yes,yes,7%,10%,13466,243,6%,10%,3%,79%,1%,1%,,
Keystone Montessori Charter School,Phoenix,,yes,yes,59%,81%,16303,286,62%,3%,0%,22%,7%,15%,,
Learning Institute the,Phoenix,,yes,yes,20%,42%,19327,368,24%,5%,5%,64%,0%,2%,,
Life Skills Center of Arizona,Phoenix,,yes,yes,5%,2%,17743,328,18%,15%,3%,61%,1%,2%,,
E-Institute at Avondale,Avondale,,yes,yes,20%,30%,21288,434,4%,11%,0%,78%,3%,5%,,
Estrella High School,Avondale,yes,yes,yes,30%,30%,15742,273,10.50%,17.90%,0%,67.90%,0%,3.70%,35,Public
La Joya Community High School,Avondale,yes,yes,yes,19%,19%,1042,37,8%,13%,0%,74%,1%,4%,31,Public
West-Mec - Agua Fria High School,Avondale,,yes,yes,,,25708,602,33%,0%,0%,67%,0%,0%,,
West-Mec - La Joya High School,Avondale,,yes,yes,30%,22%,25512,584,0%,40%,0%,60%,0%,0%,,
Chandler High School,Chandler,yes,yes,yes,25%,32%,185,8,34%,10%,2%,46%,6%,2%,31.8,Public
Chandler Online Academy,Chandler,yes,yes,no,48%,63%,17850,329,78%,2%,0%,15%,4%,1%,19.9,Public
Gilbert High School,Gilbert,yes,yes,no,35%,34%,739,30,66%,3%,1%,24%,3%,2%,26.2,Public
Gilbert Junior High School,Gilbert,,,,60,70,Unranked,130,53%,8%,1%,35%,3%,1%,7.2,Private
Great Hearts Academies - Arete Prep,Gilbert,yes,yes,yes,75%,65%,10443,194,71%,4%,1%,17%,4%,3%,9.3,Private
Intelli-School - Metro Center,Phoenix,yes,yes,yes,42%,25%,20045,398,25%,6%,9%,59%,0%,1%,23.7,Public
Intelli-School - Paradise Valley,Phoenix,yes,yes,yes,56,62,21008,424,37%,6%,2%,52%,0%,3%,16.4,Private
International Commerce High School - Phoenix,Phoenix,yes,yes,yes,65,55,10141,186,9%,8%,0%,80%,0%,3%,11.9,Public
Jail-Maricopa County Sheriffs Office,Phoenix,,,,,,,,,,,,,,,
Kaizen Education Foundation Dba Maya High School,Phoenix,yes,yes,yes,10%,10%,13045,236,13%,14%,3%,66%,3%,1%,29.7,Public
Great Hearts Academies - North Phoenix Prep,Phoenix,yes,yes,yes,53%,72%,"13,582",245,71%,2%,2%,15%,7%,3%,11.7,Public
Great Hearts Academies - Teleos Prep,Phoenix,yes,,yes,38%,32%,Unranked,Unranked,6%,44%,1%,42%,1%,5%,,
Great Hearts Academies - Veritas Prep,Phoenix,yes,yes,yes,60%,65%,"8,185",164,76%,1%,0%,16%,3%,3%,12,Public
Greenway High School,Phoenix,yes,yes,yes,60,81,"3,646",108,59%,5%,2%,29%,4%,1%,6.8,Private
Greenway Middle School,Phoenix,yes,,,12%,17%,Unranked,Unknown,10%,4%,2%,82%,2%,2%,,
Crown Point High School,Phoenix,yes,yes,,65,75,"20,798",419,10.00%,3%,0.20%,14.10%,3%,72.70%,,
Cyber High SChool,Phoenix,,,,50,70,"22,481",469,17%,15%,0%,62%,2%,4%,,
Deer Valley Middle School,Phoenix,yes,,,39%,41%,6336,109,55.20%,5.90%,1.20%,30.50%,2.60%,4.60%,,
Desert Foothills Middle School,Phoenix,,,,60%,31.09%,,851,40.80%,7.60%,2%,42.60%,2.40%,4.60%,,
Desert Garden Montessori,Phoenix,,,,55,55,,,64%,2%,2%,6%,2%,24%,,
91st psalm Christian School,Phoenix,Yes,Yes,No,80,45,3.324,8,29.2,18.2,3.9,45,3.2,1.5,15.5,Private
