School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,student_faculty_ratio,school_type
Sun Valley High School,Mesa,Yes,Yes,Yes,30%,30%,"10,272",390,18.4,6.9,3.2,66.8,0.8,4,27.7,Public
BluePrint High School,Chandler,yes,yes,yes,40,60,22875,480,32%,8%,,48%,12%,0%,,
Bogle Junior High School,Chandler,yes,no,,49%,43%,,,,,,,,,,
Brightmont Academy - Chandler,Chandler,Yes,,yes,,,,,,,,,,,,
Chandler Online Academy,Chandler,Yes,Yes,no,48%,63%,17850,329,78%,2%,0%,15%,4%,1%,19.9,Public
Chandler High School,Chandler,Yes,Yes,Yes,25%,32%,185,8,34%,10%,2%,46%,6%,2%,31.8,Public
E-Institute at Taylion,Glendale,yes,yes,yes,85%,80%,1000,50,60%,15%,1%,15%,5%,4%,7.5,Private
Gary K. Herberger Young Scholars Academy,Glendale,Yes,yes,yes,80,70,5291,49,67%,5%,0%,5%,22%,0%,6.9,Private
Glendale High School,Glendale,yes,yes,yes,82%,80%,1234,28,60%,15%,1%,20%,2%,2%,3.9,Private
Hillcrest Middle School,Tempe,yes,No,yes,80%,75%,1500,50,60%,15%,10%,15%,5%,5%,5.7,Private
Hope High School Online,Tempe,Yes,yes,Yes,85%,80%,,10,60%,15%,1%,15%,5%,4%,,
Apollo High School,Glendale,yes,yes,yes,26%,30%,5256,167,54%,9%,6,26,,20,,
Arrowhead Christian Academy,Glendale,yes,yes,yes,19,43,4210,128,32%,10%,,15,,26,,
Cactus High School,Glendale,yes,yes,yes,72,52,7212,64,12%,12%,4,8,,17,,
Children'S Center for Neurodevelopmental Studies,Glendale,yes,yes,no,43,15,5210,742,60%,15%,1,16,,16,,
Copper Canyon High School,Glendale,yes,no,yes,54,26,8840,159,54,7,12,5,2,6,23.9,Private
West-Mec - Raymond S. Kellis(Data from 2023),Glendale,Yes,Yes,Yes,60%,44%,"7,392",538th out of 659,40,7,0,40,7,0,13.1,Public
West-Mec - Sandra Day O'Connor High School,Glendale,Yes,Yes,Yes,64%,59%,"25,948",630th out of 659,74.2,2.6,1,13.2,5,3.5,13.3,Public
Westland School Brighton Campus,Glendale,Yes,Yes,Yes,27%,32%,"12,833",229,15,14,2,64,0,4,27.9,Public
Aspc-Perryville (School closed in 2021),Goodyear,,,,,,,,,,,,,,,
Basis Goodyear(This School seemes to be closed),Goodyear,,,,,,,,,,,,,,,
Mosaica Preparatory Academy of Chandler,Chandler,Yes,Yes,Yes,70,45,Unranked,Unranked,19.7,42.7,2.8,28.7,2.8,5.1,13,Private
Oasis Recovery,Chandler,,,,70,82,"6,014",60,57%,26%,0%,11%,3%,0%,,
Paragon Science Academy,Chandler,Yes,Yes,Yes,85%,38%,"11,638",210,37%,19%,1%,12%,29%,1%,10.2,Private
Primavera - Online,Chandler,Yes,Yes,No,14%,31%,153,7,49%,5%,4%,37%,1%,1%,32.1,Public
Santam Junior High School,Chandler,No,No,Yes,44%,53%,Unranked,Unknown,70%,6%,1%,12%,9%,2%,19.6,Public
Shearim Torah High School For Girls,Phoenix,Yes,,Yes,40%,60,,14,64,0,0,0,36,0,,
Skyline Prep High School,Phoenix,Yes,Yes,Yes,50%,72,,89,15,36,2,44,3,1,,
Sonoran Science Academy - Phoenix,Phoenix,Yes,,Yes,12%,50%,5360,86,24,50,2,20,3,0,,
Sonoran Trails Middle School,Phoenix,,,Yes,58%,54%,,188,89,1,0,8,2,0,,
South Mountain High School,Phoenix,Yes,Yes,Yes,7%,49%,"13,261-17,680",382,3,15,1,78,0,2,29.9,Public
High-star Center For Children,Phoenix,No,,Yes,80,70,4157,39,85%,3%,0%,12%,0%,0%,,
Holy Cross Lutheran School,Phoenix,Yes,Yes,Yes,45,56,7407,74,14%,0%,0%,71%,14%,1%,11.3,Public
Hope High School,Phoenix,Yes,Yes,Yes,50%,50%,17304,315,5%,20%,1%,73%,0%,1%,16.8,Private
Horizon Community Learning Center,Phoenix,,Yes,Yes,70%,85%,8400,168,67%,3%,1%,18%,6%,5%,,
Humanities And Sciences High School - Phoenix,Phoenix,Yes,,Yes,70,50%,24998,558,18%,0%,0%,82%,0%,0%,,
Basis Phoenix,Phoenix,Yes,Yes,Yes,92%,80%,7748,155,57%,2%,0%,6%,34%,1%,9.7,Private
Basis Phoenix Central Primary,Phoenix,Yes,Yes,Yes,76%,40%,Unranked,Unranked,42%,9%,1%,15%,30%,3%,15.9,Private
Bostrom Alternative Center,Phoenix,,,,8%,70,15802,274,4%,13%,4%,77%,0%,2%,,
Bourgade Catholic High School,Phoenix,Yes,Yes,Yes,,,1566,13,28%,2%,0%,54%,6%,10%,,
Brophy College Preparatory,Phoenix,Yes,Yes,Yes,70,31%,87,2,60%,3%,1%,18%,7%,11%,12.5,Public
Poston Junior High School,Messa,Yes,,,35%,33%,Unranked,Unranked,43,5,3,47,1,1,32.6,Public
Red Mountain High School,Messa,Yes,Yes,Yes,50%,40%,129,4,70,3,2,20,2,3,23.9,Private
Redeemer Christian School,Messa,Yes,Yes,Yes,87%,76%,4773,42,64,0,0,13,21,2,1.7,Private
Rhodes Junior High School,Messa,Yes,Yes,No,55%,34%,467,11,26,6,6,58,2,2,21.5,Public
Sequoia Choice School Arizona Distance Learning School,Messa,yes,No,No,54%,33%,755,195,70,3,7,15,2,3,26.5,Private
West-Mec - Dysart High School,El Mirage,,,,35%,33%,25948,630,100%,0%,0%,0%,0%,0%,7.2,Public
Fountain Hills High School,Fountain Hills,,,,50%,40%,9922,185,80%,1%,8%,6%,3%,3%,,
Fountain Hills.online,Fountain Hills,,,,87%,76%,,,,,,,,,,
Gila Bend High School,Gila Bend,,,,55%,34%,19646,378,12%,0%,26%,61%,0%,1%,,
Arizona Connections Academy,Gilbert,,,,54%,33%,1915,65,63%,4%,2%,22%,2%,7%,,
Salt River High School,Scottsdale,,Yes,Yes,50,50,16760,296,0,0,85,14,0,0,,
Scottsdale Online Learning,Scottsdale,Yes,Yes,Yes,60,52,20721,416,67,3,1,23,3,2,18.5,Public
Sunrise Middle School,Scottsdale,Yes,,Yes,46%,45%,Unranked,Unknown,62,3,0,26,4,4,,
The New Foundation-marion Burton School,Scottsdale,,,,60,52,5800,56,53,5,8,35,0,0,,
Ville De Marie Academy,Scottsdale,Yes,Yes,,46%,45%,4017,36,85,0,1,10,4,0,,
Highland Jr High School,Mesa,Yes,Yes,Yes,52%,55%,,131,927,32,9,212,34,13,,
Imagine East Mesa Middle School,Mesa,No,No,,40.49,42.31,Unranked,233,76,8,0,40,4,2,21.2,Private
Kino Junior High School,Mesa,Yes,,,5%,43.16,Unranked,803,131,34,0,791,4,2,31.3,Public
Learning Foundation,Mesa,No,No,Yes,12%,17%,Unranked,929,62,10,5,105,3,0,31.7,Public
Legacy Elementary School,Mesa,,Yes,Yes,52%,61%,Unkown,573,80,8,1,70,1,0,,
Vision Christian Academy,Glendale,Yes,Yes,,46%,45%,Unranked,Can't Find,68,0,3,29,0,0,,
West-Mec - Apollo High School,Glendale,Yes,Yes,Yes,52%,55%,"5,256",Can't Find,0,50,0,50,0,0,16.2,Private
West-Mec - Cactus High School,Glendale,Yes,Yes,,40.49,42.31,"7,964",Can't Find,56,0,0,44,0,0,,
West-Mec - Central Campus,Glendale,Yes,Yes,Yes,5%,43.16,Unranked,Can't Find,42,4,1,50,1,2,29.9,Public
West-Mec - Copper Canyon High School,Glendale,Yes,Yes,Yes,12%,17%,"8,840",Can't Find,0,17,0,83,0,0,34.4,Public
Desert Marigold School,Phoenix,NO,NO,NO,52%,61%,14142,254,72,3,2,14,2,7,16,Public
Desert Vista High School,Phoenix,YES,YES,YES,49%,55%,2801,44,54.6,7,2,16,9,11.4,18.8,Public
Desert Voices Oral Learning Center,Phoenix,NO,NO,NO,14%,15%,unranked,unranked,92,0,0,8,0,0,28.4,Public
Durango Transitional Learning Center,Phoenix,NO,NO,NO,19%,17%,21202,428,20,35,1,40,1,3,28.2,Public
Pinnacle High School - Tempe,Phoenix,Yes,Yes,Yes,69%,66%,"20,470",410,12,30,7,48,0,3,3.2,Public
Pinnacle Virtual High School,Phoenix,Yes,Yes,Yes,8%,12%,"14,054",252,33,11,7,46,0,2,33.1,Public
Student Choice High School,Phoenix,,,Yes,50%,50%,"19,758",386,28,6,7,57,0,3,,
Tapbi,Phoenix,Yes,No,Yes,50%,50%,,,,,,,,,,
Tempe High School,Phoenix,Yes,Yes,Yes,50%,50%,"2,694",95,9,13,4,69,1,3,17.1,Public
South Pointe High School,Phoenix,No,No,No,20%,50%,Unranked,1834,3,25,0,66,0,6,26.5,Public
South ridge high school,Phoenix,Yes,Yes,Yes,54%,50%,5152,1224,7,11,1,78,2,1,18.6,Public
Southwest Key Transitional Learning Center,pheonix,No,No,No,30%,30%,Unranked,Unranked,0,0,0,100,0,0,32.2,Public
southwest leadership academy,pheonix,None,No,Yes,30%,30%,Unranked,1259,7,7,2,83,0,1,32.7,Public
st marys high school,pheonix,Yes,Yes,Yes,23%,22%,1040,Unranked,13,6,1,69,4,7,29.6,Public
Gilbert Global Academy Junior High School,Gibert,Yes,No,Yes,77%,74%,,,72.3,6.3,0.2,18.3,2.8,0.1,,
Gilbert High School,Gibert,Yes,Yes,Yes,78%,76%,739,30,69.7,7.6,0.2,20.7,1.4,0.4,26.2,Public
Gilbert Junior High School,Gibert,Yes,Yes,Yes,82%,80%,"1,243rd",37th,64.4,3.8,0.7,25.8,4.3,1.8,7.2,Private
Great Hearts Academies-Arete Prep,Gibert,Yes,No,Yes,83%,81%,10443,194,75.6,2.4,0.2,17.6,3.4,0.8,9.7,Private
Greenfield Junior High School,Gibert,Yes,No,Yes,82%,80%,,50 th,68.2,4.2,0.8,22.4,3.4,1,18.2,Private
Westwood High School,Mesa,Yes,Yes,No,30%,30%,201,10,28,6,10,52,2,1,30.2,Public
Phoenix Country Day School,Paradise Valley,Yes,Yes,Yes,23%,22%,564,7,70,3,1,6,10,9,33.6,Public
Aurora Day School,Peoria,,Yes,No,77%,74%,,,59.5,9.5,4.1,9.5,2.7,14.9,,
Basis Peoria,Peoria,Yes,No,Yes,78%,76%,,,42,4,0,4,48,2,,
Centennial High School,Peoria,Yes,Yes,Yes,82%,80%,"1,467",48,56,5,1,31,3,4,2.7,Private
Desert Ridge Junior High School,Mesa,Yes,Yes,Yes,83%,81%,,,68,4,1,22,3,2,,
Dobson High School,Mesa,Yes,Yes,Yes,82%,80%,501,20,38,8,5,45,3,1,4.9,Private
Eaglerich Enrichment Program,Mesa,Yes,Yes,,82%,80%,,,81,2,2,13,1,1,,
East Valley academy,Mesa,,,Yes,83%,81%,13951,251,16,5,6,71,1,1,,
East Valley HIgh School,Mesa,,,,82%,80%,18739,350,54,3,1,38,0,0,,
Heritage Academy Queen Creek,Queen Creek,Yes,No,Yes,85%,88%,,1,85%,4%,0%,7%,2%,2%,,
Basis Mesa,Mesa,Yes,Yes,Yes,94%,95%,22,3,75%,5%,0%,15%,5%,0%,5.1,Private
Queen Creek High School,Queen Creek,Yes,Yes,Yes,85%,87%,,12,80%,3%,0%,13%,3%,1%,,
Queen Creek Virtual Academy,Queen Creek,Yes,No,Yes,88%,90%,,,80%,3%,0%,13%,3%,1%,,
Basis Scottsdale,Scottsdale,Yes,Yes,Yes,95%,96%,11,1,75%,5%,0%,15%,5%,0%,4.7,Private
Tri-City Christian Academy,Chandler,,Yes,Yes,50%,45%,"2,249",21,63%,8%,1%,8%,14%,5%,,
Valley Christian High School,Chandler,Yes,Yes,Yes,60%,50%,"1,576",15,82%,5%,1%,8%,2%,1%,12,Private
Willis Junior High School,Chandler,Yes,Yes,Yes,50%,42%,Unranked,Unknown,29%,7%,2%,55%,4%,0%,26.4,Private
Dysart High School,El Mirage,Yes,Yes,Yes,40%,75%,"3,122",99,30%,9%,2%,54%,2%,1%,10.9,Private
West-Mec - Dysart High School,El Mirage,Yes,Yes,Yes,60%,70%,"25,948",630,100%,0%,0%,0%,0%,0%,7.2,Public
Arizona Agribusiness & Equine Center Inc. - Red Mountain,Mesa,Yes,Yes,Yes,5%,53%,6281,106,67.80%,5.20%,1.20%,23.50%,1.70%,1.20%,33.4,Public
Asu Preparatory Academy-polytechnic High School,Mesa,No,Yes,Yes,66%,77%,7284,124,37.30%,5.90%,1.90%,44.30%,5%,5.40%,8.8,Public
Basis Mesa,Mesa,yes,yes,yes,94%,97%,62,13,39.50%,7.50%,0.60%,18.70%,26.20%,7.50%,5.1,Private
Carson Junior High School,Mesa,no,yes,yes,26%,22%,6108,446,17.50%,6.50%,14.40%,58.00%,0.40%,3.20%,28.7,Public
Desert Ridge High School,Mesa,yes,yes,yes,21%,30%,7011,123,60.20%,3.10%,1.50%,27.90%,3.10%,4.20%,32.1,Public
North Pointe Preparatory,Phoenix,yes,yes,yes,30%,47%,7115,144,48%,4%,1%,40%,3%,4%,24.7,Public
Northwest Christian School,Phoenix,yes,yes,yes,26%,28%,79,1,83%,1%,1%,9%,2%,4%,31.3,Public
Nueva Vista School / Arizona State Hospital,Phoenix,,,,44%,65%,,,,,,,,,,
Ombudsman - Charter East,Phoenix,yes,yes,yes,25%,10%,21673,445,14%,4%,11%,69%,1%,0%,34.4,Public
Ombudsman - Charter East li,Phoenix,yes,yes,yes,10%,10%,18639,346,12%,5%,3%,79%,0%,1%,30.2,Public
Kino Junior High School,Mesa,Yes,No,No,17%,20%,1769,467,13%,3%,7%,76%,0%,0%,31.3,Public
Learning Foundation,Mesa,No,No,Yes,52%,62%,,,30%,5%,2%,50%,1%,11%,31.7,Public
Legacy Elementary school,Mesa,No,No,Yes,53%,61%,,250,49%,5%,1%,43%,1%,2%,,
Mesa Academy for Advanced Studies,Mesa,Yes,Yes,Yes,48%,48%,,1,78%,1%,0%,10%,9%,2%,,
Mesa Distance Learning Program,Mesa,No,No,Yes,31%,30%,"17,102",305,62%,2%,2%,26%,2%,4%,23.7,Public
West-Mec - Washington High School,Phoenix,,,,64%,49%,"25,948",630,,,,100%,,,,
Western School of Science and Technology,Phoenix,Yes,No,Yes,44%,43%,"13,024",235,1%,2%,0%,97%,0%,0%,25.2,Private
Westland School,Phoenix,,,,9%,19%,"14,964",268,24%,15%,0%,54%,1%,,,
Xavier College Preparatory,Phoenix,Yes,Yes,Yes,76%,55%,144,3,83%,2%,1%,8%,6%,,,
Yeshiva High School of Arizona,Phoenix,,Yes,,45%,53%,"6,704",66,100%,0%,0%,0%,0%,0%,,
Genesis Acedemy,Phoenix,Yes,Yes,Yes,8%,76%,13838,250,3%,5%,3%,88%,0%,1%,24.7,Public
Girls Leadership Academy Of Arizona,Phoenix,Yes,Yes,Yes,15%,20%,13261,237,5%,15%,2%,76%,2%,1%,29.4,Public
Glenview College Preparatory High School,Phoenix,Yes,Yes,Yes,20%,20%,9164,161,12%,10%,1%,74%,1%,2%,33.1,Public
Gompers Private School,Phoenix,No,,,Cant Find,Cant Find,6647,Cant FInd,27%,23%,5%,45%,0%,0%,,
Great Hearts Academies- Archway Veritas,Phoenix,Yes,Yes,Yes,62%,68%,5303,137,77%,1%,0%,10%,4%,7%,7.5,Public
Mountain Trail Middle School,Phoenix,,,,52%,62%,Unranked,unknown,70%,2%,1%,21%,2%,4%,,
New World Educational Center,Phoenix,,,,53%,61%,Unranked,unknown,7%,6%,2%,84%,1%,1%,,
Nfl Yet College Prep Academy,Phoenix,,,,48%,48%,14935,267,2%,2%,1%,94%,0%,1%,,
North Canyon High School,Phoenix,,,,31%,30%,1907,64,35%,5%,2%,52%,3%,3%,,
North High School,Phoenix,,,,64%,49%,573,24,6%,6%,2%,82%,1%,2%,,
Campo Verde High School,Gilbert,Yes,Yes,,44%,43%,1997,29,73%,4%,1%,15%,5%,2%,,
Cenpatico Schools,Gilbert,,No,,9%,19%,5624,53,24%,18%,4%,51%,2%,0%,,
Desert Hills High School,Gilbert,Yes,No,,52%,62%,17392,319,37%,11%,17%,31%,0%,4%,,
Eduprize School Gilbert,Gilbert,No,Yes,Yes,53%,61%,2062,72,71%,3%,1%,17%,4%,3%,17,Public
Cooley Middle School,Gilbert,,,,48%,48%,Unranked,Unknown,69%,5%,1%,19%,4%,3%,,
E-institute At Buckeye,Buckeye,,,,31%,30%,Unranked,Unknowm,19.30%,4.50%,,75.00%,,,,
Odyssey Institute For Advanced And International,Buckeye,,,,64%,49%,Unranked,67,,,,,,,,
Skyview High School,Buckeye,,,,44%,43%,Unranked,Unknown,21.50%,8%,,62%,,,,
Verrado High School,Buckeye,,,,9%,19%,4985,57,45%,5.90%,,43.60%,1.60%,,,
West-mec-Buckeye union high school,Buckeye,,,,30,,Unranked,Unknown,20.00%,,,60%,,,,
American Leadership Academy - Queen Creek,Queen Creek,yes,no,yes,60%,70%,na,na,87%,0,0,13%,0,0,5.7,Private
Benjamin Franklin High School,Queen Creek,No,No,Yes,43%,65%,,,30%,5%,2%,50%,1%,11%,,
Canyon State Academy,Queen Creek,Yes,No,,44%,58%,17392,319,37%,11%,17%,31%,0%,4%,,
Dr. Camille Casteel High School,Queen Creek,Yes,No,,43%,65%,17392,319,37%,11%,17%,31%,0%,4%,,
Queen Creek High School,Queen Creek,Yes,Yes,Yes,44%,58%,,12,80%,3%,0%,13%,3%,1%,,
Madison Highland Prep,Phoenix,,,,52%,62%,15985,280,32%,6%,4%,53%,2%,4%,,
Maryvale High School,Phoenix,,,,53%,61%,273,14,3%,4%,1%,92%,0%,0%,,
Metro Tech High School,Phoenix,,,,48%,48%,2497,89,2%,1%,0%,96%,0%,0%,,
Metrocenter Academy,Phoenix,,,,31%,30%,18313,337,26%,9%,5%,57%,1%,3%,,
Metropolitan Arts Institute,Phoenix,,,,64%,49%,15846,277,52%,5%,0%,36%,1%,6%,,
Sequoia School For The Deaf And Hard Of Hearing,Mesa,,,,44%,43%,21990,455,41%,8%,9%,34%,5%,3%,,
Sequoia Secondary School,Mesa,Yes,,,9%,19%,12610,230,34%,10%,1%,53%,1%,1%,7.9,Private
Shepherd Junior High School,Mesa,,Yes,,8%,12%,Unranked,Unknown,65%,4%,3%,23%,2%,3%,,
Skyline High School,Mesa,Yes,,,50%,50%,522,22,54%,4%,2%,37%,2%,1%,,
Smith Junior High School,Mesa,,No,,50%,,Unranked,Unknown,60%,4%,1%,32%,1%,2%,,
Gateway Academy,Scottsdale,no,no,Yes,,,,,75,5,0,7,4,4,1.8,Public
Horizon High School,Scottsdale,Yes,Yes,Yes,39%,40%,1012,36,77,2,1,12,4,4,3.6,Private
Great Hearts Academies - Cicero Prep,Scottsdale,Yes,Yes,Yes,50%,66%,,,71,2,0,15,8,4,,
Great Hearts Academies - Scottsdale Prep,Scottsdale,Yes,Yes,Yes,69%,73%,6722,139,77,1,0,8,9,4,1.1,Private
Saguaro High School,Scottsdale,Yes,Yes,Yes,37%,41%,"4,318",114,68,4,3,19,5,1,1.3,Private
Tempe preparatory academy,Tempe,Yes,No,Yes,73%,,1377,22,57.50%,2.20%,0.90%,26.40%,7.60%,5.40%,,
The Aces-Tempe,Tempe,No,No,No,52%,62%,3704,31,20%,8%,4%,16%,4%,48%,17.2,Private
The early career academy,Tempe,No,No,No,53%,61%,"24,174",514,41%,14%,5%,23%,0%,17%,12.3,Private
Valley preparatory academy,Tempe,No,No,No,48%,48%,23688,501,40%,10%,0%,17%,0%,33%,25.2,Private
Sierra Linda High School,Tolleson,Yes,No,Yes,31%,30%,"1,898",62,4%,9%,0%,84%,0%,3%,20.1,Public
Grand Canyon College Preparatory Charter School,Tempe,,,,64%,49%,,,,,,,,,,
Humanities and Sciences Academy Arizona,Tempe,Yes,Yes,Yes,44%,43%,"23,625",499,6,16,6,68,0,4,20.8,Public
Humanities and Science High School - Tempe,Tempe,Yes,Yes,Yes,9%,19%,"25,082",560,10,20,0,60,10,0,29,Public
Integrity Education Centre,Tempe,Yes,Yes,Yes,30,30,"22,533",473,62,8,4,21,0,5,33,Public
International Commerce High School - Tempe,Tempe,Yes,Yes,,20,39,"17,274",314,20,11,7,58,1,3,,
Wickenburg Virtual Academy,Wickenburg,,,,,,,,,,,,,,,
Az Compass Prep School,Chandler,,,yes,12%,12%,"18,895",352,12%,24%,32%,26%,2%,4%,,
Arizona College Prep,Chandler,Yes,Yes,yes,91%,83%,"9,474",181,43%,4%,1%,15%,30%,7%,2.4,Private
Basha High School,Chandler,yes,yes,yes,61,61,65,,65,4,5,16,9,1,,
Basis Chandler,Chandler,yes,yes,no,90,81,30,6,22%,8%,1%,3,71,2,3,Private
Foothills Academy,Scottsdale,Yes,No,Yes,53%,61%,"14,236",258,86%,1%,0%,6%,4%,3%,19.3,Private
Foothills Academy Connected,Scottsdale,Yes,Yes,No,33%,46%,"24,822",547,13%,0%,0%,0%,0%,0%,23.4,Private
Gateway Academy,Scottsdale,No,No,Yes,N/a,N/a,"5,234",48,75%,5%,0%,7%,4%,9%,1.8,Public
Great Hearts Academies - Cicero Scottsdale,scottsdale,Yes,Yes,Yes,50%,66%,Unranked,Unknown,71%,2%,0%,15%,8%,4%,10.2,Private
Great Hearts Academies - Scottsdale,scottsdale,Yes,Yes,Yes,69%,73%,6722,139,77%,1%,0%,8%,9%,4%,8.5,Public
Boulder Creek High School,Anthem,yes,yes,yes,45%,41.67,"2,843",45,82,2,0,11,2,3,21.6,Public
Great Hearts Academies - Anthem Prep,Anthem,yes,no,yes,60%,,,,80,1,0,8,7,3,,
West-Mec - Boulder Creek High School,Anthem,yes,yes,yes,50%,,,,25,0,0,75,0,0,,
Agua Fria High School,Avondale,yes,yes,yes,40%,44.8,"1,495",11,20,11,1,65,2,2,26.8,Public
Arizona Agribusiness & Equine Center - Estrella,Avondale,no,yes,yes,35%,,,,50,7,1,36,4,1,,
West-mec - Deer Valley High School,Glendale,Y,Y,Y,,,,,,,,,,,,
West-mec - Glendale High School,Glendale,Y,Y,Y,,,,,100,0,0,0,0,0,,
West-mec - Independence High School,Glendale,Y,Y,Y,,,,,,,,,,,,
West-mec - Ironwood High School,Glendale,Y,Y,Y,,,,,75,0,0,25,0,0,,
West-mec - Mountain Ridge High School,Glendale,Y,Y,Y,,,,,0,0,0,0,0,100,,
Central High School,Phoenix,Yes,Yes,Yes,4,4,847,10,7.4,16.8,6.5,72.77,2.3,2.9,33.3,Public
Children First Academy,Phoenix,,,,52%,62%,,,8,22,,56,1,13,,
Cornerstone Charter School,Phoenix,Yes,Yes,Yes,53%,61%,"19,081",356,22,8,,57,0,13,,
Cortez High School,Phoenix,Yes,Yes,Yes,48%,48%,,,21,11,5,56,6,1,,
Crestview College Preparatory High School,Phoenix,Yes,,,31%,30%,"15,937",279,15,4,2,74,0,5,,
Thunderbird High School,Phoenix,Yes,Yes,Yes,64%,49%,3218,101,51%,7%,3%,36%,3%,1%,14.6,Public
Trevor Browne High School,Phoenix,Yes,Yes,Yes,44%,43%,248,13,3%,4%,1%,91%,1%,1%,20.5,Private
Tumbleweed Transitional Learning Center,Phoenix,No,No,Yes,9%,19%,22127,462,2%,11%,0%,87%,0%,0%,34.7,Public
Valley Lutheran High School,Phoenix,Yes,Yes,Yes,80%,82%,3283,27,54%,9%,4%,16%,11%,5%,8.5,Private
Victory High School - Campus,Phoenix,Yes,Yes,Yes,75%,78%,24174,514,0%,9%,0%,82%,9%,0%,1.5,Private
Redeemer Christian School,Mesa,Yes,Yes,Yes,82%,84%,,123,64%,0%,0%,13%,21%,0%,1.7,Private
Rhodes Junior High School,Mesa,Yes,Yes,Yes,75%,78%,,125,26%,6%,1%,58%,2%,2%,21.5,Public
Sequoia Choice School Arizona Distance Learning School,Mesa,Yes,Yes,Yes,85%,80%,,100,70%,3%,5%,15%,2%,0%,26.5,Private
Sequoia School for the Deaf and Hard of Hearing,Mesa,Yes,Yes,Yes,Not found,Not found,Not found,Not found,41%,8%,Not found,34%,5%,Not found,9.7,Public
Sequoia Secondary School,Mesa,Yes,Yes,Yes,Not found,Not found,Not found,Not found,34%,10%,Not found,53%,1%,Not found,7.9,Private
James Madison Preparatory School,Tempe,Yes,Yes,Yes,,45%,"17,914",331,72%,3%,2%,15%,3%,5%,,
Marcos De Niza High School,Tempe,Yes,Yes,Yes,39%,60%,"3,319",103,27%,10%,11%,47%,3%,3%,12,Public
Mcclintock High School,Tempe,Yes,No,No,50%,50%,"2,038",71,33%,10%,5%,43%,4%,5%,10.9,Public
New School For The Arts,Tempe,Yes,Yes,Yes,69%,40%,"17,363",317,63%,10%,3%,18%,2%,3%,15.2,Public
Pinnacle Charter High School,Tempe,Yes,Yes,Yes,37%,35%,"22,979",483,30%,9%,7%,51%,0%,2%,26.6,Private
Tonopah Valley High School,Tonopah,Yes,Yes,Yes,55%,56%,#10.279,#181,37.30%,3.60%,0.40%,55.20%,0.20%,2.80%,13.7,Public
Shadow Ridge High School,Wikenburg,yes,Yes,Yes,28%,24%,#4574,#126,58.50%,4.60%,0.40%,27.80%,2.10%,6.50%,22.2,Public
Wickenburg Christian Academy,Wikenburg,Yes,Yes,Yes,69%,40%,#3763,unranked,88%,0%,1%,10%,1%,1%,11,Private
West-Mec_Wickenburg High School,Wikenburg,Yes,Yes,Yes,37%,35%,unranked,unranked,83.30%,0%,0%,11.10%,5.60%,0%,25.1,Public
Wickenburg High school,Wikenburg,Yes,Yes,Yes,55%,56%,"#13,261",237-317,53.40%,2.40%,1.00%,42%,0.20%,0%,14.7,Private
Paradise Valley Christian Preparatory,Phoenix,yes,yes,yes,28%,24%,Unranked,#2,87%,4%,0%,6%,3%,1%,32.8,Public
Paradise Valley High School,Phoenix,yes,yes,yes,60%,70%,#4226,625,43%,4%,1%,45%,3%,4%,2.9,Public
Phoenix Christian Preparatory School,Phoenix,yes,yes,yes,43%,65%,1439,15,30%,31%,0%,33%,6%,0%,11.4,Private
Phoenix College Preparatory School,Phoenix,Yes,yes,Yes,44%,58%,5864,51,12%,10%,2%,76%,0%,1%,16.3,Private
Phoenix Collegiate Academy Charter School,Phoenix,yes,yes,yes,43%,65%,9551,309,2%,8%,1%,89%,0%,1%,11.9,Private
Shepherd Junior High School,Mesa,,Yes,Yes,44%,58%,Unranked,Unranked,65,4,3,23,2,2,,
Skyline High School,Mesa,Yes,,,50,50,522,22,54,4,2,37,2,2,,
Smith Junior High School,Mesa,,No,,50,60,Unranked,unknown,60,4,1,32,1,2,,
Soronan Desert School,Mesa,Yes,No,,45,36,23294,490,84,3,3,11,0,0,,
Stapley Junior High School,Mesa,Yes,Yes,Yes,5,15,Unranked,Unknown,70,1,8,18,2,9,19.1,Public
Gateway Early College High School,Phoenix,Yes,Yes,Yes,14%,12%,8646,155,1.60%,13.60%,6%,82.80%,0.30%,0.30%,32.1,Public
Franklin Police and Fire High School,Phoenix,Yes,Yes,Yes,43%,65%,4136,65,3.10%,0.70%,1.70%,93.40%,1.00%,0%,17.7,Private
Great Hearts Academies - Archway Veritas,Phoenix,No,No,Yes,44%,58%,,,67.40%,2.10%,0.30%,17.00%,4.70%,6.80%,,
Great Hearts Academies - North Phoenix Prep,Phoenix,No,Yes,No,67%,72%,4142,64,57.90%,3.10%,0.60%,21.60%,11.70%,4.90%,11.7,Public
Great Hearts Academies - Teleos Prep,Phoenix,No,No,Yes,67%,,6297,107,54.00%,5.60%,0.70%,25.10%,7.10%,6.70%,,
Mesa High School,Mesa,Yes,yes,yes,50%,42%,7961,139,29%,4%,2%,62%,1%,2%,25.4,Public
Mesa Transitional Learning Center,Mesa,Yes,No,no,,,,,47%,20%,,26%,3%,4%,,
Mountain View High School,Mesa,Yes,Yes,Yes,37%,37%,3795,100,66%,3%,4%,24%,2%,1%,25.6,Private
Poston Junior High School,Messa,Yes,No,Yes,24,33,Unranked,Unranked,43,5,3,47,1,1,32.6,Public
